                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3479,                0.18462,                      1,                 1.4221,                      0,                      0,                      0
                      2,                 3.3479,                0.18462,                      1,                 1.4212,             6.8573e-06,             6.8573e-06,             6.8573e-06
                      3,                  3.336,                    0.2,                      1,                 1.4193,             1.3149e-05,             1.3149e-05,             1.3149e-05
                      4,                 3.3133,                0.26154,                      1,                 1.4166,             1.8875e-05,             1.8875e-05,             1.8875e-05
                      5,                 3.2812,                0.27692,                      1,                 1.4132,             2.4036e-05,             2.4036e-05,             2.4036e-05
                      6,                 3.2409,                0.27692,                      1,                 1.4092,             2.8631e-05,             2.8631e-05,             2.8631e-05
                      7,                 3.1938,                0.27692,                      1,                 1.4048,             3.2661e-05,             3.2661e-05,             3.2661e-05
                      8,                 3.1414,                0.27692,                      1,                    1.4,             3.6126e-05,             3.6126e-05,             3.6126e-05
                      9,                 3.0849,                0.29231,                      1,                 1.3947,             3.9024e-05,             3.9024e-05,             3.9024e-05
                     10,                 3.0255,                0.32308,                      1,                  1.389,             4.1358e-05,             4.1358e-05,             4.1358e-05
                     11,                 2.9644,                0.35385,                      1,                 1.3828,             4.3126e-05,             4.3126e-05,             4.3126e-05
                     12,                 2.9024,                0.38462,                      1,                 1.3763,             4.4328e-05,             4.4328e-05,             4.4328e-05
                     13,                 2.8405,                0.41538,                      1,                 1.3694,             4.4965e-05,             4.4965e-05,             4.4965e-05
                     14,                 2.7795,                0.46154,                      1,                 1.3624,             4.5036e-05,             4.5036e-05,             4.5036e-05
                     15,                 2.7199,                0.49231,                      1,                 1.3553,             4.4542e-05,             4.4542e-05,             4.4542e-05
                     16,                 2.6624,                0.55385,                      1,                 1.3482,             4.3483e-05,             4.3483e-05,             4.3483e-05
                     17,                 2.6075,                0.58462,                      1,                 1.3413,             4.1858e-05,             4.1858e-05,             4.1858e-05
                     18,                 2.5557,                    0.6,                      1,                 1.3347,             3.9667e-05,             3.9667e-05,             3.9667e-05
                     19,                 2.5075,                0.63077,                      1,                 1.3284,             3.6911e-05,             3.6911e-05,             3.6911e-05
                     20,                 2.4633,                0.64615,                      1,                 1.3227,             3.3589e-05,             3.3589e-05,             3.3589e-05
                     21,                 2.4237,                0.66154,                      1,                 1.3175,             2.9702e-05,             2.9702e-05,             2.9702e-05
                     22,                 2.3891,                0.69231,                      1,                  1.313,              2.525e-05,              2.525e-05,              2.525e-05
                     23,                   2.36,                0.67692,                      1,                 1.3094,             2.0232e-05,             2.0232e-05,             2.0232e-05
                     24,                 2.3369,                0.69231,                      1,                 1.3066,             1.4648e-05,             1.4648e-05,             1.4648e-05
                     25,                 2.3202,                0.70769,                      1,                 1.3048,             8.4995e-06,             8.4995e-06,             8.4995e-06
