                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3479,                0.18462,                      1,                 1.4221,                      0,                      0,                      0
                      2,                 3.3479,                0.18462,                      1,                 1.4212,             6.9633e-06,             6.9633e-06,             6.9633e-06
                      3,                 3.3358,                    0.2,                      1,                 1.4193,             1.3573e-05,             1.3573e-05,             1.3573e-05
                      4,                 3.3124,                0.26154,                      1,                 1.4165,              1.983e-05,              1.983e-05,              1.983e-05
                      5,                 3.2787,                0.27692,                      1,                  1.413,             2.5733e-05,             2.5733e-05,             2.5733e-05
                      6,                 3.2356,                0.27692,                      1,                 1.4088,             3.1282e-05,             3.1282e-05,             3.1282e-05
                      7,                 3.1844,                0.29231,                      1,                  1.404,             3.6478e-05,             3.6478e-05,             3.6478e-05
                      8,                 3.1262,                0.27692,                      1,                 1.3986,             4.1321e-05,             4.1321e-05,             4.1321e-05
                      9,                 3.0621,                0.30769,                      1,                 1.3926,              4.581e-05,              4.581e-05,              4.581e-05
                     10,                 2.9933,                0.35385,                      1,                 1.3859,             4.9946e-05,             4.9946e-05,             4.9946e-05
                     11,                 2.9209,                0.36923,                      1,                 1.3783,             5.3728e-05,             5.3728e-05,             5.3728e-05
                     12,                 2.8456,                    0.4,                      1,                   1.37,             5.7157e-05,             5.7157e-05,             5.7157e-05
                     13,                 2.7683,                0.49231,                      1,                  1.361,             6.0233e-05,             6.0233e-05,             6.0233e-05
                     14,                 2.6897,                0.50769,                      1,                 1.3513,             6.2955e-05,             6.2955e-05,             6.2955e-05
                     15,                 2.6103,                0.58462,                      1,                 1.3411,             6.5324e-05,             6.5324e-05,             6.5324e-05
                     16,                 2.5307,                    0.6,                      1,                 1.3303,             6.7339e-05,             6.7339e-05,             6.7339e-05
                     17,                 2.4513,                0.64615,                      1,                 1.3192,             6.9001e-05,             6.9001e-05,             6.9001e-05
                     18,                 2.3724,                0.66154,                      1,                 1.3078,             7.0309e-05,             7.0309e-05,             7.0309e-05
                     19,                 2.2944,                0.69231,                      1,                 1.2962,             7.1264e-05,             7.1264e-05,             7.1264e-05
                     20,                 2.2177,                0.72308,                      1,                 1.2845,             7.1866e-05,             7.1866e-05,             7.1866e-05
                     21,                 2.1426,                0.75385,                      1,                 1.2728,             7.2114e-05,             7.2114e-05,             7.2114e-05
                     22,                 2.0694,                0.76923,                      1,                 1.2612,             7.2009e-05,             7.2009e-05,             7.2009e-05
                     23,                 1.9983,                0.76923,                      1,                 1.2499,              7.155e-05,              7.155e-05,              7.155e-05
                     24,                 1.9297,                0.76923,                      1,                 1.2388,             7.0738e-05,             7.0738e-05,             7.0738e-05
                     25,                 1.8636,                0.78462,                      1,                 1.2281,             6.9572e-05,             6.9572e-05,             6.9572e-05
                     26,                 1.8003,                    0.8,                      1,                 1.2179,             6.8053e-05,             6.8053e-05,             6.8053e-05
                     27,                 1.7397,                    0.8,                      1,                  1.208,             6.6181e-05,             6.6181e-05,             6.6181e-05
                     28,                 1.6822,                0.81538,                      1,                 1.1987,             6.3955e-05,             6.3955e-05,             6.3955e-05
                     29,                 1.6276,                0.83077,                      1,                 1.1899,             6.1375e-05,             6.1375e-05,             6.1375e-05
                     30,                 1.5762,                0.84615,                      1,                 1.1817,             5.8443e-05,             5.8443e-05,             5.8443e-05
                     31,                  1.528,                0.84615,                      1,                  1.174,             5.5156e-05,             5.5156e-05,             5.5156e-05
                     32,                 1.4831,                0.86154,                      1,                  1.167,             5.1517e-05,             5.1517e-05,             5.1517e-05
                     33,                 1.4418,                0.86154,                      1,                 1.1606,             4.7524e-05,             4.7524e-05,             4.7524e-05
                     34,                 1.4041,                0.86154,                      1,                 1.1548,             4.3177e-05,             4.3177e-05,             4.3177e-05
                     35,                 1.3701,                0.86154,                      1,                 1.1497,             3.8477e-05,             3.8477e-05,             3.8477e-05
                     36,                 1.3402,                0.86154,                      1,                 1.1454,             3.3424e-05,             3.3424e-05,             3.3424e-05
                     37,                 1.3143,                0.86154,                      1,                 1.1417,             2.8017e-05,             2.8017e-05,             2.8017e-05
                     38,                 1.2929,                0.84615,                      1,                 1.1388,             2.2257e-05,             2.2257e-05,             2.2257e-05
                     39,                 1.2759,                0.84615,                      1,                 1.1367,             1.6144e-05,             1.6144e-05,             1.6144e-05
                     40,                 1.2636,                0.84615,                      1,                 1.1354,             9.6765e-06,             9.6765e-06,             9.6765e-06
