                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      1,                      1,                      0,                      0,                      0,                      0
                      2,                      0,                      1,                      1,                      0,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                      0,                      1,                      1,                      0,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                      0,                      1,                      1,                      0,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                      0,                      1,                      1,                      0,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                      0,                      1,                      1,                      0,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                      0,                      1,                      1,                      0,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                      0,                      1,                      1,                      0,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                      0,                      1,                      1,                      0,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                      0,                      1,                      1,                      0,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                      0,                      1,                      1,                      0,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                      0,                      1,                      1,                      0,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                      0,                      1,                      1,                      0,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                      0,                      1,                      1,                      0,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                      0,                      1,                      1,                      0,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                      0,                      1,                      1,                      0,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                      0,                      1,                      1,                      0,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                      0,                      1,                      1,                      0,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                      0,                      1,                      1,                      0,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                      0,                      1,                      1,                      0,             8.0718e-06,             8.0718e-06,             8.0718e-06
